-1.276,-0.211,-0.368,98250.06
-1.264,-0.209,-0.365,98286.429
-1.274,-0.211,-0.368,98322.352
-1.274,-0.211,-0.368,98355.621
-1.29,-0.214,-0.372,98390.982
-1.258,-0.208,-0.363,98428.184
-1.282,-0.212,-0.37,98463.122
-1.259,-0.209,-0.363,98499.685
-1.303,-0.216,-0.376,98536.329
-1.269,-0.21,-0.366,98570.211
-1.267,-0.21,-0.366,98606.197
-1.278,-0.212,-0.369,98643.663
-1.28,-0.212,-0.37,98678.665
-1.28,-0.212,-0.37,98714.057
-1.284,-0.213,-0.371,98750.096
-1.279,-0.212,-0.369,98784.579
-1.279,-0.212,-0.369,98820.193
-1.267,-0.21,-0.366,98857.69
-1.279,-0.212,-0.369,98895.114
-1.283,-0.213,-0.37,98931.23
-1.287,-0.213,-0.372,98965.941
-1.283,-0.213,-0.37,99001.571
-1.269,-0.21,-0.366,99038.958
-1.283,-0.213,-0.37,99074.537
-1.286,-0.213,-0.371,99110.638
-1.274,-0.211,-0.368,99146.764
-1.309,-0.217,-0.378,99182.25
-1.282,-0.212,-0.37,99217.603
-1.28,-0.212,-0.369,99253.966
-1.287,-0.213,-0.372,99289.723
-1.3,-0.215,-0.375,99323.557
-1.264,-0.209,-0.365,99360.411
-1.301,-0.216,-0.376,99396.559
-1.289,-0.214,-0.372,99431.73
-1.292,-0.214,-0.373,99468.679
-1.299,-0.215,-0.375,99504.451
-1.285,-0.213,-0.371,99539.99
-1.28,-0.212,-0.369,99576.617
-1.296,-0.215,-0.374,99612.429
-1.305,-0.216,-0.377,99647.466
-1.279,-0.212,-0.369,99683.616
-1.288,-0.213,-0.372,99720.302
-1.302,-0.216,-0.376,99756.429
-1.293,-0.214,-0.373,99790.521
-1.294,-0.214,-0.373,99825.377
-1.305,-0.216,-0.377,99862.072
-1.3,-0.215,-0.375,99898.922
-1.28,-0.212,-0.369,99935.161
-1.299,-0.215,-0.375,99971.125
-1.295,-0.215,-0.374,100007.067
-1.316,-0.218,-0.38,100042.964
-1.283,-0.213,-0.37,100078.034
-1.301,-0.216,-0.376,100113.952
-1.312,-0.217,-0.379,100149.95
-1.293,-0.214,-0.373,100185.512
-1.308,-0.217,-0.378,100221.403
-1.298,-0.215,-0.375,100257.269
-1.322,-0.219,-0.382,100292.73
-1.291,-0.214,-0.373,100328.598
-1.293,-0.214,-0.373,100364.882
-1.315,-0.218,-0.38,100401.644
-1.311,-0.217,-0.379,100437.697
-1.301,-0.216,-0.376,100472.702
-1.313,-0.218,-0.379,100508.523
-1.311,-0.217,-0.378,100544.611
-1.305,-0.216,-0.377,100579.958
-1.308,-0.217,-0.378,100615.792
-1.314,-0.218,-0.379,100651.856
-1.303,-0.216,-0.376,100688.599
-1.291,-0.214,-0.373,100724.069
-1.312,-0.217,-0.379,100759.215
-1.305,-0.216,-0.377,100794.962
-1.314,-0.218,-0.379,100830.769
-1.319,-0.219,-0.381,100867.248
-1.303,-0.216,-0.376,100903.263
-1.313,-0.218,-0.379,100939.431
-1.328,-0.22,-0.383,100975.646
-1.309,-0.217,-0.378,101010.698
-1.311,-0.217,-0.378,101046.306
-1.302,-0.216,-0.376,101082.208
