state, time, pressure
0,0.00,0.00
0,0.05,101324.58
0,0.11,101326.88
0,0.16,101327.45
0,0.21,101326.77
0,0.26,101324.91
0,0.31,101322.02
0,0.37,101319.03
0,0.42,101316.19
0,0.47,101313.47
0,0.52,101311.11
0,0.57,101309.02
0,0.63,101307.06
0,0.68,101304.82
0,0.73,101302.75
0,0.78,101301.06
0,0.83,101300.38
0,0.89,101299.45
0,0.94,101298.47
0,0.99,101297.47
0,1.04,101296.72
0,1.09,101296.36
0,1.15,101295.69
0,1.20,101295.27
0,1.25,101294.91
0,1.31,101294.66
0,1.37,101294.52
0,1.42,101293.61
0,1.50,101292.58
0,1.55,101291.58
0,1.63,101289.69
0,1.69,101288.82
0,1.74,101287.88
0,1.82,101287.21
0,1.87,101286.50
0,1.95,101285.70
0,2.00,101284.84
0,2.07,101284.23
0,2.12,101284.03
0,2.20,101283.96
0,2.25,101283.95
0,2.33,101283.16
0,2.38,101282.42
0,2.46,101282.30
0,2.51,101282.28
0,2.59,101281.66
0,2.64,101281.33
0,2.72,101281.58
0,2.77,101281.36
0,2.85,101281.63
0,2.90,101281.15
0,2.98,101279.92
0,3.03,101279.64
0,3.11,101279.73
0,3.16,101279.63
0,3.23,101279.30
0,3.29,101279.27
0,3.36,101279.56
0,3.41,101279.84
0,3.49,101280.67
0,3.54,101280.91
0,3.62,101281.40
0,3.68,101281.55
0,3.73,101281.86
0,3.81,101281.59
0,3.86,101281.06
0,3.93,101280.49
0,3.98,101280.55
0,4.06,101280.30
0,4.11,101280.02
0,4.19,101279.78
0,4.24,101279.88
0,4.32,101280.55
0,4.37,101280.64
0,4.45,101280.27
0,4.50,101279.72
0,4.58,101279.16
0,4.63,101278.95
0,4.71,101279.22
0,4.76,101279.52
0,4.84,101279.75
0,4.89,101279.91
0,4.97,101280.39
1,5.02,101280.33
1,5.10,99441.63
1,5.15,98067.13
1,5.23,96263.17
1,5.28,95240.58
1,5.36,94292.44
1,5.41,93452.20
1,5.49,92813.78
1,5.54,92296.44
1,5.62,91509.50
1,5.67,91102.27
1,5.72,90478.59
1,5.80,90092.01
1,5.85,89708.48
1,5.93,89067.67
1,5.98,88798.55
1,6.06,88239.52
1,6.11,87722.41
1,6.19,87374.93
1,6.24,86918.80
1,6.32,86345.89
1,6.37,86023.67
1,6.45,85397.03
1,6.50,85013.79
1,6.58,84663.98
1,6.63,84195.33
1,6.71,83772.61
1,6.76,83483.13
1,6.84,82863.77
1,6.89,82539.53
1,6.96,82106.48
1,7.01,81602.95
1,7.09,81259.86
1,7.14,80976.42
1,7.22,80411.14
1,7.27,80144.05
1,7.34,80155.19
1,7.41,79921.55
1,7.46,79441.17
1,7.54,78753.20
1,7.59,78453.80
1,7.67,77974.78
1,7.72,77727.89
1,7.77,77392.33
1,7.85,76822.45
1,7.90,76561.64
1,7.98,76137.72
1,8.03,75661.81
1,8.11,75368.91
1,8.16,75089.39
1,8.24,74612.75
1,8.29,74417.91
1,8.37,74046.56
1,8.42,73602.56
1,8.50,73333.00
1,8.55,73040.38
1,8.63,72583.28
1,8.68,72397.95
1,8.76,72023.56
1,8.81,71667.55
1,8.89,71426.36
2,8.94,71117.66
2,9.01,72007.44
2,9.06,72556.36
2,9.14,72975.41
2,9.19,73234.31
2,9.27,73470.16
2,9.32,73620.03
2,9.40,73767.31
2,9.45,73867.41
2,9.53,73972.55
2,9.58,74047.59
2,9.66,74131.89
2,9.71,74194.61
2,9.76,74244.77
2,9.81,74304.12
2,9.89,74373.34
2,9.94,74427.22
2,10.02,74493.11
2,10.07,74544.94
2,10.15,74609.79
2,10.20,74661.73
2,10.28,74725.95
2,10.33,74776.69
2,10.41,74839.84
2,10.46,74889.83
2,10.54,74952.05
2,10.59,75001.81
2,10.67,75064.00
2,10.72,75113.75
2,10.80,75175.91
2,10.85,75225.42
2,10.93,75287.00
2,10.98,75336.94
2,11.05,75399.16
2,11.10,75448.67
2,11.18,75510.52
2,11.23,75559.23
2,11.31,75620.56
2,11.36,75669.72
2,11.44,75730.69
2,11.49,75778.69
2,11.57,75839.09
2,11.62,75887.02
2,11.70,75947.33
2,11.76,75985.76
2,11.81,76038.09
2,11.89,76101.72
2,11.94,76151.42
2,12.02,76211.14
2,12.07,76258.36
2,12.15,76316.89
2,12.19,76363.59
2,12.27,76421.27
2,12.32,76466.88
2,12.40,76524.34
2,12.45,76569.41
2,12.53,76625.02
2,12.58,76670.23
2,12.66,76727.16
2,12.71,76772.42
2,12.79,76828.14
2,12.84,76872.63
2,12.92,76926.68
2,12.97,76969.70
2,13.05,77024.03
2,13.10,77067.59
2,13.18,77121.34
2,13.23,77163.95
2,13.31,77217.41
2,13.36,77259.23
2,13.44,77311.17
2,13.48,77352.95
2,13.56,77404.80
2,13.61,77446.19
2,13.69,77497.30
2,13.75,77529.56
2,13.80,77573.55
2,13.88,77626.59
2,13.93,77668.25
2,14.01,77719.84
2,14.06,77761.09
2,14.14,77811.67
2,14.19,77851.78
2,14.27,77901.27
2,14.32,77940.50
2,14.40,77989.30
2,14.45,78028.58
2,14.53,78078.16
2,14.58,78118.16
2,14.66,78166.39
2,14.71,78204.47
2,14.78,78252.00
2,14.84,78290.25
2,14.91,78337.47
2,14.96,78375.92
2,15.04,78423.27
2,15.09,78461.48
2,15.17,78509.09
2,15.22,78547.09
2,15.30,78594.53
2,15.35,78631.78
2,15.43,78678.30
2,15.48,78715.80
2,15.56,78762.44
2,15.61,78799.94
2,15.69,78847.00
2,15.74,78876.22
2,15.79,78916.13
2,15.87,78964.31
2,15.92,79002.39
2,16.00,79049.73
2,16.05,79087.34
2,16.13,79134.29
2,16.18,79171.59
2,16.26,79217.42
2,16.31,79254.72
2,16.39,79300.55
2,16.44,79336.84
2,16.52,79382.13
2,16.57,79418.61
2,16.65,79464.47
2,16.70,79501.64
2,16.77,79546.84
2,16.83,79583.31
2,16.90,79629.12
2,16.95,79665.05
2,17.03,79709.45
2,17.08,79745.45
2,17.16,79791.05
2,17.21,79827.83
2,17.29,79873.09
2,17.34,79909.20
2,17.42,79955.02
2,17.47,79990.57
2,17.55,80034.62
2,17.60,80070.07
2,17.68,80115.31
2,17.73,80143.36
2,17.78,80181.79
2,17.86,80228.32
2,17.91,80265.09
2,17.99,80310.03
2,18.04,80345.86
2,18.12,80390.27
2,18.17,80425.28
2,18.25,80470.30
2,18.30,80506.50
2,18.38,80551.22
2,18.43,80586.64
2,18.51,80631.09
2,18.56,80666.48
2,18.64,80711.02
2,18.69,80746.41
2,18.76,80791.19
2,18.82,80827.63
2,18.89,80872.70
2,18.94,80908.67
2,19.02,80953.16
2,19.07,80988.67
2,19.15,81032.89
2,19.20,81068.00
2,19.28,81111.72
2,19.33,81147.64
2,19.41,81192.91
2,19.46,81228.91
2,19.54,81273.73
2,19.59,81309.80
2,19.67,81354.01
2,19.72,81381.79
2,19.77,81419.31
2,19.85,81465.50
2,19.90,81502.61
2,19.98,81548.74
2,20.03,81585.09
2,20.11,81630.42
2,20.16,81666.19
2,20.24,81709.94
2,20.29,81744.63
2,20.37,81789.01
2,20.42,81824.89
2,20.50,81870.76
2,20.55,81906.83
2,20.63,81951.14
2,20.68,81987.02
2,20.75,82031.84
2,20.81,82067.66
2,20.88,82111.98
2,20.93,82147.61
2,21.01,82192.98
2,21.06,82229.38
2,21.14,82274.27
2,21.19,82310.35
2,21.27,82355.78
2,21.32,82391.94
2,21.40,82436.97
2,21.45,82472.69
2,21.53,82518.38
2,21.58,82555.56
2,21.66,82601.27
2,21.72,82630.09
2,21.77,82670.06
2,21.84,82718.23
2,21.90,82755.23
2,21.97,82800.50
2,22.02,82836.88
2,22.10,82882.41
2,22.15,82918.83
2,22.23,82965.27
2,22.28,83002.30
2,22.36,83048.36
2,22.41,83084.23
2,22.49,83129.27
2,22.54,83165.38
2,22.62,83211.66
2,22.67,83248.80
2,22.75,83294.76
2,22.80,83331.98
2,22.88,83377.74
2,22.93,83414.19
2,23.01,83460.31
2,23.06,83497.06
2,23.14,83543.43
2,23.18,83580.33
2,23.26,83627.02
2,23.31,83664.45
2,23.39,83710.88
2,23.44,83748.17
2,23.52,83794.64
