state, time, pressure
0,--1.2147483647,0.00
0,0.07,101324.95
0,0.15,101324.83
0,0.22,101324.70
0,0.29,101324.59
0,0.36,101324.50
0,0.43,101324.42
0,0.51,101324.32
0,0.58,101324.20
0,0.65,101324.05
0,0.72,101323.93
0,0.79,101323.85
0,0.87,101323.77
0,0.94,101323.71
0,1.01,101323.68
0,1.08,101323.65
0,1.15,101323.56
0,1.23,101323.48
0,1.30,101323.39
0,1.37,101323.30
0,1.44,101323.20
0,1.51,101323.10
0,1.59,101323.05
0,1.66,101323.03
0,1.73,101322.98
0,1.80,101322.91
0,1.87,101322.85
0,1.95,101322.77
0,2.02,101322.71
0,2.09,101322.67
0,2.17,101322.62
0,2.25,101322.58
0,2.32,101322.54
0,2.39,101322.51
0,2.46,101322.47
0,2.53,101322.45
0,2.61,101322.42
0,2.68,101322.38
0,2.75,101322.32
0,2.82,101322.27
0,2.89,101322.20
0,2.97,101322.13
0,3.04,101322.07
0,3.11,101322.03
0,3.18,101322.00
0,3.25,101321.95
0,3.33,101321.92
0,3.40,101321.89
0,3.47,101321.85
0,3.54,101321.84
0,3.61,101321.80
0,3.68,101321.78
0,3.74,101321.80
0,3.80,101321.77
0,3.87,101321.78
0,3.92,101321.80
0,3.98,101321.81
0,4.04,101321.84
0,4.11,101321.83
0,4.16,101321.80
0,4.22,101321.76
0,4.28,101321.70
0,4.33,101321.61
0,4.40,101321.58
0,4.45,101321.52
0,4.52,101321.47
0,4.57,101321.43
0,4.64,101321.34
0,4.69,101321.26
0,4.76,101321.27
0,4.81,101321.27
0,4.88,101321.26
0,4.93,101321.24
1,5.00,101321.24
1,5.05,101226.97
1,5.12,101044.32
1,5.17,100949.09
1,5.24,100851.56
1,5.29,100556.32
1,5.36,100159.52
1,5.41,99953.91
1,5.48,99846.16
1,5.53,99654.54
1,5.60,99216.02
1,5.65,98886.34
1,5.72,98739.09
1,5.77,98584.18
1,5.84,98187.71
1,5.89,97775.84
1,5.96,97591.09
1,6.01,97433.05
1,6.08,97113.85
1,6.13,96887.77
1,6.18,96684.61
1,6.25,96396.66
1,6.30,95927.77
1,6.37,95612.92
1,6.43,95414.77
1,6.49,95184.85
1,6.55,94933.84
1,6.60,94735.84
1,6.66,94497.38
1,6.72,94072.64
1,6.78,93638.74
1,6.84,93379.30
1,6.91,93154.73
1,6.96,92948.56
1,7.01,92716.99
1,7.08,92484.69
1,7.13,92160.72
1,7.20,91659.59
1,7.25,91310.00
1,7.32,91067.91
1,7.37,90803.07
1,7.44,90334.41
1,7.49,89909.07
1,7.56,89652.41
1,7.61,89407.75
1,7.68,89016.18
1,7.73,88536.73
1,7.80,88241.56
1,7.85,87990.72
1,7.92,87685.41
1,7.97,87213.24
1,8.02,86888.66
