state, time, pressure
0,0.00,0.00
0,0.05,101324.95
0,0.11,101325.02
0,0.16,101325.08
0,0.21,101325.09
0,0.26,101325.05
0,0.31,101324.95
0,0.37,101324.78
0,0.42,101324.56
0,0.47,101324.30
0,0.52,101323.99
0,0.57,101323.64
0,0.63,101323.27
0,0.68,101322.88
0,0.73,101322.47
0,0.78,101322.02
0,0.83,101321.55
0,0.89,101321.07
0,0.94,101320.57
0,0.99,101320.06
0,1.04,101319.54
0,1.09,101319.02
0,1.15,101318.52
0,1.20,101318.02
0,1.25,101317.52
0,1.31,101317.02
0,1.37,101316.52
0,1.42,101315.78
0,1.51,101315.05
0,1.57,101314.30
0,1.65,101313.55
0,1.71,101313.06
0,1.77,101312.34
0,1.86,101311.59
0,1.92,101310.84
0,2.00,101310.10
0,2.06,101309.35
0,2.14,101308.61
0,2.20,101307.89
0,2.29,101307.16
0,2.35,101306.43
0,2.43,101305.69
0,2.49,101304.95
0,2.57,101304.22
0,2.63,101303.52
0,2.72,101302.84
0,2.78,101302.20
0,2.86,101301.60
0,2.92,101301.00
0,3.00,101300.41
0,3.06,101299.85
0,3.15,101299.30
0,3.21,101298.77
0,3.29,101298.23
0,3.35,101297.73
0,3.43,101297.23
0,3.49,101296.74
0,3.58,101296.26
0,3.64,101295.77
0,3.72,101295.33
0,3.78,101294.91
0,3.86,101294.48
0,3.92,101294.21
0,3.98,101293.84
0,4.07,101293.46
0,4.13,101293.10
0,4.21,101292.73
0,4.27,101292.35
0,4.35,101291.98
0,4.41,101291.62
0,4.50,101291.24
0,4.56,101290.86
0,4.64,101290.48
0,4.70,101290.13
0,4.78,101289.80
0,4.84,101289.46
0,4.93,101289.13
0,4.99,101288.80
1,5.07,101270.93
1,5.13,101200.98
1,5.22,101084.13
1,5.28,100933.13
1,5.36,100754.77
1,5.42,100556.95
1,5.50,100341.98
1,5.56,100114.28
1,5.65,99873.35
1,5.71,99623.60
1,5.79,99364.59
1,5.85,99098.94
1,5.93,98824.91
1,5.99,98544.70
1,6.08,98257.44
1,6.14,98061.02
1,6.20,97760.80
1,6.28,97454.91
1,6.34,97144.77
1,6.42,96829.11
1,6.48,96509.88
1,6.57,96186.31
1,6.63,95859.58
1,6.71,95528.95
