state, time, pressure
0,1.71,101294.91
0,0.00,101294.91
0,0.05,101301.70
0,0.11,101308.97
0,0.16,101313.47
0,0.21,101315.84
0,0.26,101316.53
0,0.31,101316.03
0,0.37,101314.98
0,0.42,101313.63
0,0.47,101311.95
0,0.52,101309.77
0,0.57,101307.72
0,0.63,101306.11
0,0.68,101304.45
0,0.73,101303.20
0,0.78,101301.38
0,0.83,101299.75
0,0.89,101297.84
0,0.94,101296.52
0,0.99,101296.02
0,1.04,101295.31
0,1.09,101294.63
0,1.15,101294.80
0,1.20,101295.09
0,1.25,101295.33
0,1.31,101295.64
0,1.37,101296.47
0,1.42,101296.91
0,1.51,101296.20
0,1.57,101295.75
0,1.63,101295.58
0,1.69,101294.83
0,1.77,101294.19
0,1.83,101293.48
0,1.92,101291.76
0,1.98,101290.28
0,2.06,101289.72
0,2.12,101289.91
0,2.21,101290.22
0,2.27,101290.01
0,2.35,101288.89
0,2.41,101289.13
0,2.49,101289.53
0,2.55,101289.33
0,2.64,101288.67
0,2.70,101287.84
0,2.78,101285.77
0,2.84,101284.00
0,2.93,101283.33
0,2.99,101282.98
0,3.07,101282.61
0,3.13,101282.56
0,3.21,101282.85
0,3.27,101282.64
0,3.36,101282.86
0,3.42,101282.64
0,3.50,101282.73
0,3.56,101282.88
0,3.65,101283.02
0,3.71,101283.16
0,3.79,101283.50
0,3.85,101283.88
0,3.91,101284.69
0,3.99,101285.00
0,4.05,101285.17
0,4.14,101284.14
0,4.20,101283.13
0,4.28,101282.92
0,4.34,101282.64
0,4.43,101282.31
0,4.49,101282.78
0,4.57,101282.58
0,4.63,101282.81
0,4.71,101283.34
0,4.77,101283.53
0,4.86,101284.15
0,4.92,101283.72
1,5.00,101283.12
1,5.06,99911.67
1,5.15,97990.66
1,5.21,96645.98
1,5.29,95513.94
1,5.35,94479.13
1,5.43,93687.53
1,5.49,92921.47
1,5.58,92172.92
1,5.64,91655.53
1,5.72,90947.17
1,5.78,90524.53
1,5.87,89865.13
1,5.93,89430.08
1,6.01,88832.02
1,6.07,88420.59
1,6.13,88021.34
1,6.21,87360.09
1,6.27,86955.27
1,6.36,86357.53
1,6.42,85922.36
1,6.50,85369.22
1,6.56,85003.14
1,6.65,84396.61
1,6.71,84048.84
1,6.79,83427.54
1,6.85,83066.52
1,6.92,82579.22
1,6.98,82196.84
1,7.07,81651.39
1,7.13,81343.34
1,7.21,80744.78
1,7.27,80419.69
1,7.36,79884.25
1,7.42,79500.11
1,7.50,79061.36
1,7.56,78610.83
1,7.64,78271.11
1,7.70,77759.73
1,7.79,77431.88
1,7.85,76994.80
1,7.93,76597.19
1,7.99,76239.86
1,8.08,75747.64
1,8.14,75455.09
1,8.22,74970.91
1,8.28,74672.56
1,8.34,74611.36
1,8.40,74204.14
1,8.49,73764.06
1,8.55,73272.00
1,8.63,72936.31
1,8.69,72445.48
1,8.78,72120.05
1,8.84,71754.82
1,8.92,71350.73
2,8.98,71057.23
2,9.06,71470.13
2,9.12,72050.11
2,9.20,72577.09
2,9.26,72888.83
2,9.35,73168.98
2,9.41,73345.20
2,9.49,73515.41
2,9.55,73627.08
2,9.63,73743.28
2,9.69,73824.67
2,9.77,73915.75
2,9.83,73983.55
2,9.91,74062.34
2,9.97,74122.27
2,10.06,74193.52
2,10.12,74248.64
2,10.20,74316.31
2,10.26,74369.11
2,10.34,74432.34
2,10.40,74481.60
2,10.48,74543.14
2,10.54,74592.45
2,10.60,74634.93
2,10.66,74687.20
2,10.74,74750.71
2,10.80,74800.89
2,10.89,74862.84
2,10.95,74912.58
2,11.03,74974.97
2,11.09,75025.63
2,11.17,75088.31
2,11.23,75137.39
2,11.31,75198.92
2,11.37,75247.73
2,11.45,75309.11
2,11.51,75358.28
2,11.60,75420.16
2,11.66,75469.02
2,11.74,75530.08
2,11.80,75578.20
2,11.88,75638.64
2,11.94,75687.31
2,12.02,75748.55
2,12.08,75796.84
2,12.16,75857.91
2,12.22,75906.17
2,12.31,75965.88
2,12.37,76013.59
2,12.45,76072.94
2,12.51,76120.61
2,12.59,76178.63
2,12.65,76225.52
2,12.73,76284.22
2,12.79,76320.63
2,12.85,76370.36
2,12.93,76432.58
2,12.99,76480.61
2,13.08,76540.06
2,13.14,76586.63
2,13.22,76643.89
2,13.28,76690.06
2,13.36,76747.98
2,13.42,76793.63
2,13.50,76849.61
2,13.56,76894.50
2,13.64,76949.86
2,13.70,76993.80
2,13.79,77048.83
2,13.85,77092.86
2,13.93,77148.33
2,13.99,77192.03
2,14.07,77246.50
2,14.13,77289.34
2,14.21,77342.11
2,14.27,77384.50
2,14.35,77437.71
2,14.41,77480.53
2,14.50,77532.69
2,14.56,77574.48
2,14.64,77627.06
2,14.70,77668.42
2,14.78,77719.52
2,14.84,77760.58
2,14.92,77812.52
2,14.98,77844.21
2,15.04,77886.91
2,15.12,77939.80
2,15.18,77980.83
2,15.27,78030.91
2,15.33,78071.33
2,15.41,78121.98
2,15.47,78161.99
2,15.55,78211.52
2,15.61,78251.14
2,15.69,78300.38
2,15.75,78338.95
2,15.83,78387.14
2,15.89,78425.97
2,15.98,78474.27
2,16.04,78512.86
2,16.12,78561.84
2,16.18,78600.64
2,16.26,78648.58
2,16.32,78686.63
2,16.40,78733.80
2,16.46,78771.50
2,16.54,78818.84
2,16.60,78856.69
2,16.69,78903.22
2,16.75,78940.84
2,16.83,78987.38
2,16.89,79024.02
2,16.97,79070.39
2,17.03,79107.13
2,17.11,79154.22
2,17.17,79183.44
2,17.23,79222.64
2,17.31,79270.26
2,17.37,79307.91
2,17.46,79353.92
2,17.52,79390.11
2,17.60,79435.36
2,17.66,79471.83
2,17.74,79517.81
2,17.80,79554.39
2,17.88,79598.97
2,17.94,79634.98
2,18.02,79679.75
2,18.08,79714.55
2,18.17,79759.80
2,18.23,79795.77
2,18.31,79840.41
2,18.37,79876.06
2,18.45,79920.00
2,18.51,79955.56
2,18.59,79999.95
2,18.65,80034.70
2,18.73,80078.61
2,18.79,80113.30
2,18.88,80157.74
2,18.94,80193.50
2,19.02,80237.78
2,19.08,80273.16
2,19.16,80317.80
