state, time, pressure
0,0.00,100238.16
0,0.05,101324.34
0,0.11,101325.73
0,0.16,101325.57
0,0.21,101324.11
0,0.26,101321.65
0,0.31,101318.52
0,0.37,101315.22
0,0.42,101311.88
0,0.47,101308.70
0,0.52,101305.73
0,0.57,101302.47
0,0.63,101299.47
0,0.68,101296.63
0,0.73,101294.24
0,0.78,101292.30
0,0.83,101290.56
0,0.89,101289.79
0,0.94,101289.18
0,0.99,101287.94
0,1.04,101286.88
0,1.09,101285.94
0,1.15,101284.95
0,1.20,101284.36
0,1.25,101283.55
0,1.31,101282.58
0,1.37,101281.42
0,1.42,101279.80
0,1.51,101278.63
0,1.57,101277.59
0,1.65,101276.13
0,1.71,101275.70
0,1.77,101275.17
0,1.86,101274.73
0,1.92,101274.94
0,2.00,101274.53
0,2.06,101274.36
0,2.14,101274.34
0,2.20,101274.08
0,2.29,101273.38
0,2.35,101272.79
0,2.43,101272.50
0,2.49,101271.84
0,2.58,101271.52
0,2.64,101270.84
0,2.72,101270.08
0,2.78,101270.50
0,2.87,101271.25
0,2.92,101272.36
0,3.01,101274.97
0,3.07,101278.19
0,3.15,101278.30
0,3.21,101276.80
0,3.30,101273.97
0,3.36,101272.36
0,3.44,101270.66
0,3.50,101269.81
0,3.59,101268.44
0,3.64,101267.52
0,3.73,101266.73
0,3.79,101266.64
0,3.87,101266.03
0,3.93,101266.14
0,3.99,101266.52
0,4.08,101267.24
0,4.14,101267.58
0,4.22,101267.41
0,4.28,101266.25
0,4.36,101266.63
0,4.43,101267.42
0,4.51,101267.73
0,4.57,101267.39
0,4.65,101268.06
0,4.71,101267.77
0,4.80,101267.02
0,4.86,101266.67
0,4.94,101266.63
1,5.00,101266.11
1,5.09,100139.95
1,5.14,98678.38
1,5.23,96856.77
1,5.29,95671.14
1,5.37,94533.27
1,5.43,93625.31
1,5.52,92895.66
1,5.58,92098.92
1,5.66,91513.97
1,5.72,90935.20
1,5.80,90299.87
1,5.86,89883.19
1,5.95,89231.06
1,6.01,88841.06
1,6.09,88225.77
1,6.15,87817.22
1,6.21,87355.81
1,6.30,86771.59
1,6.36,86409.73
1,6.44,85786.91
1,6.50,85401.81
1,6.59,84826.59
1,6.64,84421.95
1,6.73,83895.95
1,6.79,83532.06
1,6.87,82972.66
1,6.93,82649.78
1,7.02,82036.26
1,7.08,81683.59
1,7.16,81152.60
1,7.22,80741.55
1,7.30,80319.05
1,7.36,79839.53
1,7.45,79501.45
1,7.51,78971.75
1,7.59,78624.53
1,7.65,78210.69
1,7.74,77770.73
1,7.80,77433.69
1,7.88,76948.06
1,7.94,76659.11
1,8.02,76148.70
1,8.09,75832.66
1,8.17,75385.61
1,8.23,75036.69
1,8.31,74601.92
1,8.37,74309.94
1,8.44,74539.55
1,8.50,74115.58
1,8.58,73528.86
1,8.64,73123.09
1,8.73,72578.51
1,8.78,72265.97
1,8.87,71765.22
1,8.93,71452.63
2,9.01,71047.95
2,9.07,71228.16
2,9.16,71980.69
2,9.22,72441.55
2,9.30,72834.59
2,9.36,73072.83
2,9.44,73294.00
2,9.51,73436.69
2,9.59,73580.30
2,9.65,73678.56
2,9.73,73783.91
2,9.79,73860.34
2,9.88,73948.22
2,9.94,74015.25
2,10.02,74094.08
2,10.08,74154.63
2,10.16,74228.33
2,10.23,74286.11
2,10.31,74357.06
2,10.37,74413.64
2,10.45,74483.53
2,10.51,74539.59
2,10.60,74607.89
2,10.66,74661.77
2,10.72,74708.05
2,10.78,74763.27
2,10.86,74828.77
2,10.92,74880.30
2,11.01,74944.95
2,11.06,74996.27
2,11.15,75060.74
2,11.21,75112.41
2,11.29,75176.84
2,11.35,75228.38
2,11.44,75291.80
2,11.50,75342.59
2,11.58,75406.99
2,11.64,75458.66
2,11.73,75522.31
2,11.78,75573.38
2,11.87,75636.05
2,11.93,75685.75
2,12.01,75748.98
2,12.07,75799.77
2,12.16,75863.11
2,12.22,75913.27
2,12.30,75974.95
2,12.36,76023.66
2,12.44,76085.63
2,12.51,76135.13
2,12.59,76197.11
2,12.65,76246.97
2,12.73,76308.92
2,12.79,76357.92
2,12.88,76419.47
2,12.94,76457.77
2,13.00,76508.98
2,13.08,76571.48
2,13.14,76620.55
2,13.23,76680.45
2,13.28,76728.45
2,13.37,76788.13
2,13.43,76835.36
2,13.51,76893.54
2,13.57,76940.20
2,13.66,76997.28
2,13.72,77042.31
2,13.80,77098.84
2,13.86,77144.06
2,13.94,77200.50
2,14.01,77244.96
2,14.09,77300.39
2,14.15,77344.47
2,14.23,77399.36
2,14.29,77443.50
2,14.38,77497.69
2,14.44,77541.13
2,14.52,77595.14
2,14.58,77638.80
2,14.66,77692.72
2,14.73,77735.50
2,14.81,77788.61
2,14.87,77832.03
2,14.95,77885.47
2,15.01,77928.07
2,15.10,77981.53
2,15.16,78014.11
2,15.22,78058.09
2,15.30,78112.41
2,15.36,78155.48
2,15.44,78208.89
2,15.51,78251.11
2,15.59,78302.87
2,15.65,78343.89
2,15.73,78395.23
2,15.79,78435.59
2,15.88,78486.53
2,15.94,78527.95
2,16.02,78579.16
2,16.08,78619.98
2,16.17,78670.66
2,16.23,78710.67
2,16.31,78760.59
2,16.37,78800.25
2,16.45,78850.25
2,16.51,78890.55
2,16.60,78939.63
2,16.66,78979.45
2,16.74,79028.77
2,16.80,79067.61
2,16.89,79116.00
2,16.94,79154.75
2,17.03,79203.55
2,17.09,79243.08
2,17.17,79291.48
2,17.23,79329.84
2,17.32,79377.77
2,17.38,79407.34
2,17.44,79447.52
2,17.52,79496.50
2,17.58,79536.44
2,17.67,79585.69
2,17.73,79624.03
