state, time, pressure
0,0.00,0.00
0,0.05,101325.99
0,0.11,101329.48
0,0.16,101331.35
0,0.21,101331.41
0,0.26,101330.83
0,0.31,101330.18
0,0.37,101328.52
0,0.42,101326.16
0,0.47,101323.40
0,0.52,101320.45
0,0.57,101317.36
0,0.63,101314.41
0,0.68,101312.00
0,0.73,101309.63
0,0.78,101307.78
0,0.83,101306.40
0,0.89,101305.80
0,0.94,101304.98
0,0.99,101304.44
0,1.04,101303.80
0,1.09,101303.06
0,1.15,101302.79
0,1.20,101302.63
0,1.25,101302.17
0,1.31,101301.73
0,1.37,101301.11
0,1.41,101300.09
0,1.49,101298.41
0,1.54,101296.56
0,1.62,101295.41
0,1.68,101294.84
0,1.73,101294.23
0,1.81,101292.73
0,1.86,101291.91
0,1.94,101290.80
0,1.99,101289.16
0,2.07,101287.48
0,2.12,101287.16
0,2.19,101287.19
0,2.24,101286.82
0,2.32,101286.43
0,2.37,101285.63
0,2.45,101284.99
0,2.50,101284.53
0,2.58,101283.26
0,2.63,101282.47
0,2.71,101282.42
0,2.76,101282.16
0,2.84,101281.88
0,2.89,101281.20
0,2.97,101281.33
0,3.02,101280.85
0,3.10,101279.78
0,3.15,101279.14
0,3.23,101279.16
0,3.28,101278.52
0,3.36,101278.98
0,3.40,101279.30
0,3.48,101278.70
0,3.53,101278.89
0,3.61,101279.29
0,3.67,101279.66
0,3.72,101279.97
0,3.80,101280.13
0,3.85,101279.77
0,3.93,101279.52
0,3.98,101279.37
0,4.05,101279.22
0,4.11,101280.34
0,4.18,101280.47
0,4.23,101280.36
0,4.31,101279.76
0,4.36,101279.19
0,4.44,101278.40
0,4.49,101277.80
0,4.57,101277.52
0,4.62,101277.61
0,4.70,101277.36
0,4.75,101277.33
0,4.83,101277.04
0,4.88,101276.50
0,4.96,101276.35
1,5.01,101276.33
1,5.09,99131.56
1,5.14,97739.10
1,5.22,96260.28
1,5.27,95130.66
1,5.34,94319.53
1,5.39,93638.06
1,5.47,92729.48
1,5.52,92320.38
1,5.60,91639.70
1,5.66,91272.16
1,5.71,90819.07
1,5.79,90162.73
1,5.84,89909.89
1,5.92,89390.98
1,5.97,88867.44
1,6.05,88537.56
1,6.09,88123.88
1,6.17,87478.08
1,6.22,87201.42
1,6.30,86676.67
1,6.35,86220.73
1,6.43,85919.39
1,6.48,85507.11
1,6.56,84906.10
1,6.61,84610.73
1,6.69,84088.38
1,6.74,83660.08
1,6.82,83377.11
1,6.87,82986.57
1,6.95,82429.34
1,7.00,82148.63
1,7.08,81636.80
1,7.13,81236.22
1,7.21,80967.77
1,7.26,80599.19
1,7.34,80089.73
1,7.39,79815.78
1,7.46,79312.42
1,7.51,78940.24
1,7.59,78685.74
1,7.64,78333.89
1,7.70,78418.25
1,7.75,78056.06
1,7.83,77467.14
1,7.88,77150.92
1,7.96,76645.83
1,8.01,76263.38
1,8.09,76010.95
1,8.14,75686.58
1,8.21,75206.77
1,8.26,74960.55
1,8.34,74520.08
1,8.39,74175.83
1,8.47,73940.77
1,8.52,73626.98
1,8.60,73174.55
1,8.65,72928.78
1,8.73,72491.67
1,8.78,72174.44
1,8.86,71952.60
