state, time, pressure
0,0.00,0.00
0,0.05,101323.77
0,0.11,101324.89
0,0.16,101324.58
0,0.21,101323.34
0,0.26,101321.27
0,0.31,101318.81
0,0.37,101316.20
0,0.42,101313.78
0,0.47,101310.91
0,0.52,101308.34
0,0.57,101305.95
0,0.63,101304.01
0,0.68,101302.35
0,0.73,101300.77
0,0.78,101299.36
0,0.83,101298.26
0,0.89,101297.48
0,0.94,101296.61
0,0.99,101295.64
0,1.04,101294.81
0,1.09,101293.68
0,1.15,101292.73
0,1.20,101292.48
0,1.25,101292.27
0,1.31,101291.88
0,1.37,101291.61
0,1.42,101290.93
0,1.50,101289.08
0,1.55,101287.22
0,1.63,101285.39
0,1.69,101284.88
0,1.74,101284.73
0,1.82,101283.78
0,1.87,101283.16
0,1.95,101282.58
0,2.00,101281.88
0,2.07,101280.66
0,2.12,101279.88
0,2.20,101279.11
0,2.25,101278.51
0,2.33,101277.89
0,2.38,101277.19
0,2.46,101276.55
0,2.51,101276.34
0,2.59,101275.87
0,2.64,101275.93
0,2.72,101276.10
0,2.77,101276.00
0,2.85,101275.82
0,2.90,101275.67
0,2.98,101275.36
0,3.03,101274.81
0,3.11,101274.50
0,3.16,101274.08
0,3.23,101273.70
0,3.29,101273.91
0,3.36,101273.50
0,3.41,101273.58
0,3.49,101273.80
0,3.54,101274.20
0,3.62,101274.30
0,3.68,101274.47
0,3.73,101274.88
0,3.81,101275.26
0,3.86,101275.30
0,3.93,101275.78
0,3.98,101275.71
0,4.06,101275.36
0,4.11,101274.81
0,4.19,101274.20
0,4.24,101273.75
0,4.32,101273.32
0,4.37,101272.77
0,4.45,101272.23
0,4.50,101272.55
0,4.58,101272.91
0,4.63,101272.70
0,4.71,101273.06
0,4.76,101272.73
0,4.84,101272.19
0,4.89,101271.73
0,4.97,101271.48
1,5.02,101271.88
1,5.10,99303.84
1,5.15,97966.11
1,5.22,96355.47
1,5.28,95270.58
1,5.35,94491.56
1,5.40,93778.23
1,5.48,93063.53
